design,#input,#output,#and,#level,all_time,cut_time,resyn_time,lev_upd_time,aig_conv_time,lev_upd_num,rev_upd_num,gain_nodes,#and_rw,#lev_rw
sqrt,128,64,24618,5058,0.41,0.05,0.15,0.20,0.21,109840,385549,2927,21690,5058
mult64.r,128,128,44657,605,0.50,0.08,0.31,0.08,0.09,745815,375795,3318,37027,605
mult128.r,256,256,181241,1187,2.14,0.34,1.02,0.66,0.70,3222053,5638886,13281,150798,1187
hyp,256,128,214335,24801,2.33,0.34,0.97,0.90,0.92,391567,937431,5149,209164,24801
mult256.r,512,512,724133,2377,9.56,1.35,4.05,3.53,3.69,24889969,10099131,48390,613352,2377
testcase15.stp,422250,1,762659,38318,6.63,0.63,5.37,0.26,0.26,3627,18508,1113,759842,38318
netcard,195730,97805,802919,39,51.07,1.23,49.24,0.00,0.01,26072,67665,445,802288,39
sort1024.r,1024,1024,2773507,2661,74.53,5.59,19.46,47.22,47.50,289322431,335993247,96800,2600824,2557
mult512.r,1024,1024,2905935,4961,63.48,5.67,16.85,37.98,38.81,199018337,88295800,231207,2436970,4961
sort2048.r,2048,2048,10769494,5528,1138.56,22.31,74.52,1031.22,1033.01,4166131962,8980240488,527287,9947622,5118
mult1024.r,2048,2048,11695025,9917,712.18,23.02,67.75,607.48,611.96,5141440061,1200885228,830154,9758835,9917
sixteen,117,50,16216836,140,207.93,20.60,160.04,0.23,10.20,81621,1169928,33058,16182945,140
twenty,137,60,20732893,162,276.61,26.34,214.45,0.28,13.82,103463,1387903,39717,20692168,162
twentythree,153,68,23339737,176,329.18,30.12,258.11,0.32,15.72,107636,1325469,42602,23296111,176
sort4096.r,4096,4096,41920515,13924,30062.21,102.19,310.85,29597.86,29611.29,120921994011,232902803765,2600421,37807215,11057
